buurtcode,_mean
BU05990110,44.66713089344376
BU05990111,44.17869764554181
BU05990112,43.758807948621815
BU05990113,47.74773390689814
BU05990118,41.71703578333229
BU05990119,44.923138025741835
BU05990320,44.25441640378549
BU05990321,45.95063401413223
BU05990322,44.56464504763147
BU05990323,44.850499810198656
BU05990324,43.92527242733335
BU05990325,43.81504299714584
BU05990327,44.92243042160375
BU05990328,46.6146157840083
BU05990329,45.85895010903912
BU05990451,44.445168176468975
BU05990452,44.157700062237026
BU05990454,44.742729719643854
BU05990455,45.881456609322065
BU05990456,44.80888246888434
BU05990457,44.147022502744235
BU05990515,44.506408706166866
BU05990516,43.951105687924134
BU05990531,43.57676847845567
BU05990532,44.135337519529976
BU05990534,44.36715530283269
BU05990535,44.61768766541868
BU05990558,44.710181457427296
BU05990660,44.234453965291515
BU05990661,45.047002477443314
BU05990662,43.032061770236815
BU05990664,45.47487042001787
BU05990665,42.717021103033325
BU05990814,43.83301805123601
BU05990836,43.802727724177075
BU05990837,43.869434471403416
BU05990841,44.247045936957285
BU05990842,43.3000833296327
BU05990843,38.939422681805134
BU05990845,44.366326009758666
BU05990847,44.113564183280864
BU05991017,43.91622246332374
BU05991079,45.44305273974505
BU05991080,44.39762523285137
BU05991081,45.34486453510199
BU05991082,45.459837068929126
BU05991085,44.64785977069667
BU05991086,46.11487311487311
BU05991087,44.01796812281825
BU05991088,43.32040441998837
BU05991283,45.35857528213044
BU05991284,44.97496661658381
BU05991289,44.26510682220246
BU05991290,43.90609976899544
BU05991391,44.10087157884938
BU05991444,45.41603484592124
BU05991446,46.58424058369623
BU05991448,44.202201757599006
BU05991449,44.63452924303014
BU05991463,43.1961122715802
BU05991466,44.80795979819529
BU05991467,44.630783281986965
BU05991468,46.20340037955826
BU05991570,44.65842368161118
BU05991571,44.315525887593694
BU05991572,43.98589050788019
BU05991573,44.15084287846961
BU05991574,44.214796501037654
BU05991575,43.47138741470811
BU05991576,45.93279359676158
BU05991577,44.53758659524335
BU05991578,42.023999937306286
BU05991593,43.59316653782182
BU05991692,44.37644110327006
BU05991699,43.784832554360506
BU05991701,45.97832996212657
BU05991702,45.508204165598286
BU05991703,45.36007382390143
BU05991853,47.23049700003209
BU05991926,47.55780067737984
BU05992194,46.52166007198931
BU05992196,46.446293389396885
BU05992198,47.73742964644423
BU05992295,47.40734215644595
BU05992306,47.12160141739154
BU05992307,47.50127138288389
BU05992308,48.30321802501511
BU05992459,46.050886796584194
BU05992540,46.49828019918887
BU05992704,43.51803637130639
BU05992705,44.2340101372185
