Id,Measure,WijkenEnBuurten,Value,StringValue,ValueAttribute
958255,M001642,BU05990110,426,,
958330,M001642,BU05990111,370,,
958405,M001642,BU05990112,376,,
958480,M001642,BU05990113,419,,
958555,M001642,BU05990118,656,,
958630,M001642,BU05990119,435,,
958778,M001642,BU05990320,281,,
958853,M001642,BU05990321,299,,
958928,M001642,BU05990322,262,,
959003,M001642,BU05990323,289,,
959078,M001642,BU05990324,378,,
959153,M001642,BU05990325,399,,
959228,M001642,BU05990327,214,,
959303,M001642,BU05990328,262,,
959378,M001642,BU05990329,381,,
959526,M001642,BU05990451,306,,
959601,M001642,BU05990452,758,,
959666,M001642,BU05990454,633,,
959741,M001642,BU05990455,779,,
959816,M001642,BU05990456,375,,
959891,M001642,BU05990457,250,,
960031,M001642,BU05990515,347,,
960106,M001642,BU05990516,366,,
960181,M001642,BU05990531,317,,
960256,M001642,BU05990532,396,,
960331,M001642,BU05990534,387,,
960406,M001642,BU05990535,347,,
960613,M001642,BU05990660,376,,
960688,M001642,BU05990661,442,,
960763,M001642,BU05990662,562,,
960838,M001642,BU05990664,568,,
960913,M001642,BU05990665,726,,
961061,M001642,BU05990814,316,,
961136,M001642,BU05990836,403,,
961211,M001642,BU05990837,298,,
961286,M001642,BU05990841,386,,
961361,M001642,BU05990842,685,,
961436,M001642,BU05990843,1057,,
961509,M001642,BU05990845,337,,
961584,M001642,BU05990847,346,,
961732,M001642,BU05991017,485,,
961807,M001642,BU05991079,395,,
961882,M001642,BU05991080,258,,
961957,M001642,BU05991081,242,,
962032,M001642,BU05991082,243,,
962107,M001642,BU05991085,456,,
962182,M001642,BU05991086,299,,
962257,M001642,BU05991087,296,,
962332,M001642,BU05991088,369,,
962480,M001642,BU05991283,354,,
962555,M001642,BU05991284,261,,
962630,M001642,BU05991289,257,,
962705,M001642,BU05991290,256,,
962853,M001642,BU05991391,303,,
963001,M001642,BU05991444,559,,
963076,M001642,BU05991446,323,,
963151,M001642,BU05991448,373,,
963226,M001642,BU05991449,295,,
963301,M001642,BU05991463,314,,
963376,M001642,BU05991466,299,,
963451,M001642,BU05991467,286,,
963526,M001642,BU05991468,593,,
963674,M001642,BU05991570,616,,
963749,M001642,BU05991571,223,,
963824,M001642,BU05991572,203,,
963899,M001642,BU05991573,244,,
963974,M001642,BU05991574,244,,
964049,M001642,BU05991575,313,,
964124,M001642,BU05991576,268,,
964199,M001642,BU05991577,249,,
964274,M001642,BU05991578,338,,
964349,M001642,BU05991593,317,,
964497,M001642,BU05991692,302,,
964572,M001642,BU05991699,295,,
964794,M001642,BU05991702,345,,
965012,M001642,BU05991853,467,,
965158,M001642,BU05991926,250,,
966076,M001642,BU05992704,293,,
