Identifier;MeasureGroupId;Index;Title;Description;DataType;Unit;Decimals;PresentationType
GM000C;R00000;2;Gemeentenaam;De naam van de bestuurlijke gemeente. Deze naam volgt de officiële schrijfwijze.;String;naam;0;
R00003;R00000;3;Soort regio;De gekozen regioaanduiding betreft: Gemeente, Wijk of Buurt.;String;omschrijving;0;
R00004;R00000;4;Codering;"Gemeentecode heeft 4 posities, voorafgegaan door ‘GM’.
Wijkcode heeft 6 posities: gemeentecode (4) + wijkcode (2), voorafgegaan door ‘WK’.
Buurtcode heeft 8 posities: gemeentecode (4) + wijkcode (2) + buurtcode (2), voorafgegaan door ‘BU’.";String;code;0;
M000125;R00000;5;Indelingswijziging gemeente, wijk, buurt;"Deze indicator geeft per gemeente, wijk en buurt aan of de cijfers uit deze tabel zonder problemen kunnen worden gekoppeld aan en vergeleken met de cijfers van een jaar eerder, of dat er wijzigingen in de gemeentelijke of Wijk- en Buurtindeling zijn waardoor dit niet kan. Detailinformatie over wijzigingen kan worden verkregen door de wijk- en buurtkaart van twee opeenvolgende jaren met elkaar te vergelijken. Mutaties van grenzen kunnen bijvoorbeeld worden veroorzaakt door verzoeken van gemeenten die mutaties in hun buurten en/of wijken doorgeven, maar ook kleinere kadastrale mutaties, gemeentelijke herindelingen of veranderingen van de door het CBS vastgestelde land-watergrens bij grote watergebieden zoals Noordzee, Wadden, IJsselmeer, Markeermeer en Ooster- en Westerschelde kunnen tot veranderingen leiden

De indicator kent drie mogelijke waarden:
1: De codering en afbakening van deze gemeente/wijk/buurt is ongewijzigd ten opzichte van het voorgaande jaar. Het is wel mogelijk dat een naamswijziging heeft plaatsgevonden. De cijfers kunnen worden gekoppeld en vergeleken met die van het voorgaande jaar.
2: De codering van de gemeente/wijk/buurt is veranderd ten opzichte van het voorgaande jaar. De afbakening is ongewijzigd. Om te kunnen koppelen met cijfers van het voorgaande jaar zal eerst moeten worden achterhaald wat de codering van het voorgaande jaar was. Is de koppeling eenmaal geslaagd dan kunnen de cijfers alsnog met elkaar worden vergeleken.
3: De afbakening van de gemeente/wijk/buurt is veranderd ten opzichte van het voorgaande jaar. Dit kan gepaard zijn gegaan met een gewijzigde codering. De cijfers kunnen niet zonder meer worden vergeleken met die van het voorgaande jaar. Verschillen kunnen immers samenhangen met de verandering in de afbakening van de gemeente, wijk of buurt.

Er worden alleen een wijzigingen in de afbakening geconstateerd wanneer een grens circa 5 meter of meer is verlegd. Kleinere grenswijzigingen worden niet als significant beschouwd.";String;code;0;
T001036;M000352;7;Aantal inwoners;;Long;aantal;0;Absolute
3000;T001038;9;Mannen;;Long;aantal;0;Absolute
4000;T001038;10;Vrouwen;;Long;aantal;0;Absolute
10680;10000;12;0 tot 15 jaar;Aantal inwoners dat op 1 januari 0 tot 15 jaar oud is.;Long;aantal;0;Absolute
53050;10000;13;15 tot 25 jaar;Aantal inwoners dat op 1 januari 15 tot 25 jaar oud is.;Long;aantal;0;Absolute
53310;10000;14;25 tot 45 jaar;Aantal inwoners dat op 1 januari 25 tot 45 jaar oud is.;Long;aantal;0;Absolute
53715;10000;15;45 tot 65 jaar;Aantal inwoners dat op 1 januari 45 tot 65 jaar oud is.;Long;aantal;0;Absolute
80200;10000;16;65 jaar of ouder;Aantal inwoners dat op 1 januari 65 jaar of ouder is.;Long;aantal;0;Absolute
1010;T001019;18;Ongehuwd;Het aantal inwoners dat op 1 januari ongehuwd is. De burgerlijke staat ongehuwd geeft aan dat een persoon nog nooit een huwelijk heeft gesloten of een geregistreerd partnerschap is aangegaan.;Long;aantal;0;Absolute
1020;T001019;19;Gehuwd;Het aantal inwoners dat op 1 januari gehuwd is. De burgerlijke staat gehuwd ontstaat na sluiting van een huwelijk of het aangaan van een geregistreerd partnerschap. Tot de gehuwden worden ook personen gerekend die gescheiden zijn van tafel en bed, want zij blijven formeel gehuwd.;Long;aantal;0;Absolute
1080;T001019;20;Gescheiden;Het aantal inwoners dat op 1 januari gescheiden is. De burgerlijke staat gescheiden ontstaat na ontbinding van een huwelijk door echtscheiding of na ontbinding van een geregistreerd partnerschap anders dan door het overlijden van de partner. Personen die gescheiden zijn van tafel en bed worden tot de gehuwden gerekend.;Long;aantal;0;Absolute
1050;T001019;21;Verweduwd;Het aantal inwoners dat op 1 januari verweduwd is. De burgerlijke staat verweduwd ontstaat na ontbinding van een huwelijk of geregistreerd partnerschap door overlijden van de partner.;Long;aantal;0;Absolute
1012600_1;T001040;24;Nederland;;Long;aantal;0;Absolute
H007933_1;T001040;25;Europa (exclusief Nederland) ;Herkomst Europa (exclusief Nederland). De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië.;Long;aantal;0;Absolute
H008859_1;T001040;26;Buiten Europa ;Totaal herkomst buiten Europa;Long;aantal;0;Absolute
1012600_2;A051735;28;Nederland;;Long;aantal;0;Absolute
H007933_2;A051735;29;Europa (exclusief Nederland) ;Geboren in Nederland, herkomst Europa (exclusief Nederland). De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië;Long;aantal;0;Absolute
H008859_2;A051735;30;Buiten Europa ;Geboren in Nederland, herkomst buiten Europa.;Long;aantal;0;Absolute
H007933_3;A051736;32;Europa (exclusief Nederland);Geboren buiten Nederland. Herkomst Europa (exclusief Nederland). De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië.;Long;aantal;0;Absolute
H008859_3;A051736;33;Buiten Europa;Geboren buiten Nederland, herkomst buiten Europa.;Long;aantal;0;Absolute
M000173_1;M000314;35;Geboorte totaal;Het aantal levendgeborenen van 1 januari tot en met 31 december van het betreffende jaar. Levendgeborenen zijn kinderen die na geboorte enig teken van leven hebben vertoond, ongeacht de zwangerschapsduur.;Long;aantal;0;Absolute
M000173_2;M000314;36;Geboorte relatief;"Het aantal levendgeborenen van 1 januari tot en met 31 december, per 1 000 inwoners op 1 januari van het betreffende jaar.
Het relatieve aantal geboorten kan hoger uitvallen dan verwacht op basis van het inwonertal. Het relatieve cijfer betreft namelijk het aantal geboorten gedurende het jaar ten opzichte van het aantal inwoners op 1 januari. In nieuwbouwwijken kan het aantal inwoners sterk groeien in een jaar. Zo kunnen er in 1 jaar 10 kinderen geboren worden in een wijk waarin op 1 januari slechts 10 inwoners wonen, maar aan het eind van het jaar bijvoorbeeld 200 inwoners. Waarden voor wijken en buurten met minder dan 10 inwoners en een aantal geboorten ongelijk aan nul zijn op onbekend gezet.";Long;per 1 000 inwoners;0;Relative
M000179_1;M000314;37;Sterfte totaal;Alle overledenen van 1 januari tot en met 31 december van het betreffende jaar waarbij een bevoegde arts een overlijdensakte heeft ondertekend.;Long;aantal;0;Absolute
