Id;ParentId;Index;Title;Description
R00000;;1;Regioaanduiding;"De gemeenten in Nederland zijn onderverdeeld in wijken en buurten. Buurten vormen het laagste regionale niveau. Wijken zijn optellingen van één of meer aaneengesloten buurten. De gemeente bepaalt zelf de indeling in wijken en buurten. Het CBS coördineert landelijk deze indeling.

Wijk:
Onderdeel van een gemeente, bestaande uit één of meerdere buurten. Vaak komt een wijk overeen met een woonplaats of een deel van een grotere woonplaats.

Buurt:
Onderdeel van een wijk, die vanuit bebouwingsoogpunt of sociaaleconomische structuur homogeen is afgebakend. Homogeen wil zeggen dat één functie dominant is, bijvoorbeeld woonfunctie (woongebied), werkfunctie (industriegebied) of recreatieve functie (natuurgebied). Functies kunnen echter ook gemengd voorkomen.

"
M000352;;6;Bevolking;"De bevolking van Nederland op 1 januari.

Bevolking:
De inwoners van Nederland.
In de bevolkingsaantallen zijn uitsluitend personen begrepen die zijn opgenomen in het bevolkingsregister van een Nederlandse gemeente. 
In principe wordt iedereen die voor onbepaalde tijd in Nederland woont, opgenomen in het bevolkingsregister van de woongemeente. Personen die tot de bevolking van Nederland behoren, maar voor wie geen vaste woonplaats valt aan te wijzen, zijn opgenomen in het bevolkingsregister van de gemeente 's-Gravenhage.
In de bevolkingsregisters zijn niet opgenomen de in Nederland wonende personen waarvoor uitzonderingsregels gelden met betrekking tot opneming in de bevolkingsregisters (bijvoorbeeld diplomaten en NAVO militairen) en personen die niet legaal in Nederland verblijven.

Om redenen van statistische geheimhouding zijn de aantallen op wijk- en buurtniveau aselect afgerond op veelvouden van 5. 
Bij aselect afronden wordt door loten bepaald of een getal naar boven of naar beneden wordt afgerond. De daarbij gehanteerde kansen zijn omgekeerd evenredig met de afrondverschillen. Gemiddeld wordt een getal hierdoor op zichzelf afgerond. Het gemiddelde afrondverschil per getal is evenwel groter dan het geval is bij afronding op het dichtstbijzijnde veelvoud van 5. Door afrondverschillen is de som van afgeronde getallen niet altijd gelijk aan de afgeronde som. Hierdoor kan het voorkomen dat wanneer een wijk uit één buurt bestaat of een gemeente uit één wijk, dit afgerond niet overeenkomt.

Het komt voor dat van inwoners wel bekend is binnen welke gemeente ze geregistreerd zijn, maar niet exact waar ze verblijven. Deze inwoners zijn daarom wel meegeteld in de gemeentecijfers, maar niet in de cijfers per wijk en buurt. De cijfers per gemeente kunnen daardoor afwijken van de onderliggende wijken of buurten, zelfs wanneer een gemeente slechts uit één wijk bestaat.
"
T001038;M000352;8;Geslacht;
10000;M000352;11;Leeftijdsgroepen;
T001019;M000352;17;Burgerlijke staat;
2012605;M000352;22;Bevolking naar herkomst;"De bevolking van Nederland op 1 januari.

Bevolking:
De inwoners van Nederland.
In de bevolkingsaantallen zijn uitsluitend personen begrepen die zijn opgenomen in het bevolkingsregister van een Nederlandse gemeente. 
In principe wordt iedereen die voor onbepaalde tijd in Nederland woont, opgenomen in het bevolkingsregister van de woongemeente. Personen die tot de bevolking van Nederland behoren, maar voor wie geen vaste woonplaats valt aan te wijzen, zijn opgenomen in het bevolkingsregister van de gemeente 's-Gravenhage.
In de bevolkingsregisters zijn niet opgenomen de in Nederland wonende personen waarvoor uitzonderingsregels gelden met betrekking tot opneming in de bevolkingsregisters (bijvoorbeeld diplomaten en NAVO militairen) en personen die niet legaal in Nederland verblijven.

Herkomst:
Kenmerk dat weergeeft in welk land iemand geboren is of waar diens ouders geboren zijn.
De herkomst van personen die in het buitenland zijn geboren wordt bepaald door hun eigen geboorteland. Bij personen die in Nederland geboren zijn, wordt de herkomst bepaald door het geboorteland van de ouders. 
Wanneer beide ouders in het buitenland zijn geboren, is het geboorteland van de moeder leidend in het bepalen van de herkomst. De geboortegegevens van de moeder zijn vaker bekend dan die van de vader. Wanneer de moeder in Nederland is geboren of het geboorteland van de moeder onbekend is, dan wordt het geboorteland van de vader gebruikt.
"
T001040;2012605;23;Herkomstland;
A051735;2012605;27;Geboren in Nederland;
A051736;2012605;31;Geboren buiten Nederland;
M000314;M000352;34;Geboorte en sterfte;
1050010_1;M000352;39;Particuliere huishoudens;"Betreft de huishoudens op 1 januari. 
Particuliere huishoudens bestaan uit één of meer personen die alleen of samen in een woonruimte zijn gehuisvest en zelf in hun dagelijks onderhoud voorzien. Naast eenpersoonshuishoudens onderscheiden we meerpersoonshuishoudens (niet-gehuwde paren, niet-gehuwde paren met kinderen, echtparen, echtparen met kinderen, eenouderhuishoudens en overige huishoudens). De institutionele huishoudens worden hiertoe niet gerekend."
M000296;;46;Wonen;
T001132_1;M000296;49;Woningen naar type;Er worden twee typen woningen onderscheiden, eengezins en meergezins. Een woning heeft het type meergezins wanneer het samen met andere woningen of (bedrijfs)ruimten een geheel pand vormt. Hieronder vallen flats, galerij-, portiek-, beneden- en bovenwoningen, appartementen en woningen boven bedrijfsruimten, voorzover deze zijn voorzien van een buiten de bedrijfsruimte gelegen toegangsdeur. Alle overige woningen hebben het type eengezins.
T001235;M000296;52;Woningen naar bewoning;Een woning is bewoond als er volgens de Basisregistratie Personen (BRP) op peildatum 1 januari minimaal 1 persoon stond ingeschreven op het bijbehorende adres. Alle overige woningen, die wel voor bewoning beschikbaar zijn, worden beschouwd als onbewoond.
T001132_2;M000296;55;Woningen naar eigendom;Informatie over huur- en koopwoningen wordt samengesteld uit een koppeling tussen verschillende bronnen.
1014850_1;T001132_2;57;Huurwoningen;Woningen die niet bewoond worden door de eigenaar van de woning. Bij woningen waar geen bewoner geregistreerd is, gaat het om woningen waarvan het aannemelijk is dat de woning bestemd is voor de huurmarkt.
T001132_3;M000296;62;Woningen naar bouwjaar;"De aanduiding van het bouwjaar van een pand, waarin een woning zich bevindt. Oorspronkelijk als het pand bouwkundig gereed is of wordt opgeleverd. Latere wijziging aan een pand leidt niet tot wijziging van het bouwjaar. Bij een verblijfobject dat in meerdere panden is gelegen, wordt het oudste bouwjaar genomen.
De bouwjaarklasse heeft hier twee waarden: 
1) in of na het jaar 2000 gebouwd; 
2) vóór het jaar 2000 gebouwd.
"
M000218;;65;Energie;
M000221_1;M000218;66;Gemiddelde elektriciteitslevering;"De gemiddelde jaarlevering van elektriciteit op individuele aansluitingen van particuliere woningen op het openbare elektriciteitsnet, zoals berekend vanuit de aansluitingenregisters van de netbedrijven. Collectieve elektriciteitsleveringen aan bijvoorbeeld liftinstallaties of hal-/galerijverlichting zijn niet meegeteld bij de berekening. 

De cijfers zijn afgerond op tientallen en vermeld bij zes of meer (bewoonde) woningen per woningtype of type eigendom.
"
T001100_1;M000221_1;68;Naar woningtype;"De volgende typen worden onderscheiden: appartement, tussenwoning, hoekwoning, twee-onder-één-kap-woning en vrijstaande woning. 
De typering wordt bepaald door het Kadaster.
"
T001132_4;M000221_1;74;Naar eigendom;De volgende typen worden onderscheiden: huur- of koopwoning.  Deze informatie wordt samengesteld uit een koppeling tussen de Basisregistratie Adressen en Gebouwen (BAG) en het WOZ-register met een aanvulling uit het woningbestand van het Kadaster.
M000219_1;M000218;77;Gemiddeld aardgasverbruik;"Het gemiddeld jaarverbruik voor aardgas van particuliere woningen, zoals berekend uit de aansluitingenregisters van de energienetbedrijven.
Bij de berekening van het gemiddeld aardgasverbruik zijn woningen met een zeer laag of zelfs nulverbruik meegeteld indien er sprake is van stadsverwarming. Hierdoor valt in gebieden waar stadsverwarming aanwezig is het gemiddeld aardgasverbruik van woningen laag uit.

De cijfers zijn afgerond op tientallen en vermeld bij zes of meer (bewoonde) woningen per woningtype of type eigendom.

"
T001100_2;M000219_1;79;Naar woningtype;De volgende typen worden onderscheiden: appartement, tussenwoning, hoekwoning, twee-onder-één-kap-woning en vrijstaande woning. De typering wordt bepaald door het Kadaster.
T001132_5;M000219_1;85;Naar eigendom;De volgende typen worden onderscheiden: huur- of koopwoning.  Deze informatie wordt samengesteld uit een koppeling tussen de Basisregistratie Adressen en Gebouwen (BAG) en het WOZ-register met een aanvulling uit het woningbestand van het Kadaster.
T001143_1;;89;Onderwijs;
