Id;Index;Title;Description;ParentId;DimensionId
WBGM;0;Wijken en buurten per gemeente;;;WijkenEnBuurten
GM1680;1;Aa en Hunze;;WBGM;WijkenEnBuurten
GM0358;2;Aalsmeer;;WBGM;WijkenEnBuurten
GM0197;3;Aalten;;WBGM;WijkenEnBuurten
GM0059;4;Achtkarspelen;;WBGM;WijkenEnBuurten
GM0482;5;Alblasserdam;;WBGM;WijkenEnBuurten
GM0613;6;Albrandswaard;;WBGM;WijkenEnBuurten
GM0361;7;Alkmaar;;WBGM;WijkenEnBuurten
GM0141;8;Almelo;;WBGM;WijkenEnBuurten
GM0034;9;Almere;;WBGM;WijkenEnBuurten
GM0484;10;Alphen aan den Rijn;;WBGM;WijkenEnBuurten
GM1723;11;Alphen-Chaam;;WBGM;WijkenEnBuurten
GM1959;12;Altena;;WBGM;WijkenEnBuurten
GM0060;13;Ameland;;WBGM;WijkenEnBuurten
GM0307;14;Amersfoort;;WBGM;WijkenEnBuurten
GM0362;15;Amstelveen;;WBGM;WijkenEnBuurten
GM0363;16;Amsterdam;;WBGM;WijkenEnBuurten
GM0200;17;Apeldoorn;;WBGM;WijkenEnBuurten
GM0202;18;Arnhem;;WBGM;WijkenEnBuurten
GM0106;19;Assen;;WBGM;WijkenEnBuurten
GM0743;20;Asten;;WBGM;WijkenEnBuurten
GM0744;21;Baarle-Nassau;;WBGM;WijkenEnBuurten
GM0308;22;Baarn;;WBGM;WijkenEnBuurten
GM0489;23;Barendrecht;;WBGM;WijkenEnBuurten
GM0203;24;Barneveld;;WBGM;WijkenEnBuurten
GM0888;25;Beek (L.);;WBGM;WijkenEnBuurten
GM1954;26;Beekdaelen;;WBGM;WijkenEnBuurten
GM0889;27;Beesel;;WBGM;WijkenEnBuurten
GM1945;28;Berg en Dal;;WBGM;WijkenEnBuurten
GM1724;29;Bergeijk;;WBGM;WijkenEnBuurten
GM0893;30;Bergen (L.);;WBGM;WijkenEnBuurten
GM0373;31;Bergen (NH.);;WBGM;WijkenEnBuurten
GM0748;32;Bergen op Zoom;;WBGM;WijkenEnBuurten
GM1859;33;Berkelland;;WBGM;WijkenEnBuurten
GM1721;34;Bernheze;;WBGM;WijkenEnBuurten
GM0753;35;Best;;WBGM;WijkenEnBuurten
GM0209;36;Beuningen;;WBGM;WijkenEnBuurten
GM0375;37;Beverwijk;;WBGM;WijkenEnBuurten
GM0310;38;De Bilt;;WBGM;WijkenEnBuurten
